type,timestamp,positions
CONTROL,2388532.737037167,"[0.093, -0.006, 0.395, -0.096, 0.003, 0.602]"
CONTROL,2408602.7900339104,"[0.09, -0.009, 0.392, -0.093, 0.006, 0.605]"
CONTROL,2428671.6440110467,"[0.087, -0.012, 0.389, -0.09, 0.009, 0.608]"
CONTROL,2448739.6780168638,"[0.084, -0.015, 0.386, -0.087, 0.012, 0.611]"
CONTROL,2468809.352023527,"[0.081, -0.018, 0.383, -0.084, 0.015, 0.614]"
CONTROL,2488876.7060474493,"[0.078, -0.021, 0.38, -0.081, 0.018, 0.617]"
CONTROL,2508943.9400471747,"[0.075, -0.024, 0.377, -0.078, 0.021, 0.62]"
CONTROL,2529022.763017565,"[0.072, -0.027, 0.374, -0.075, 0.024, 0.623]"
CONTROL,2549092.647037469,"[0.069, -0.03, 0.371, -0.072, 0.027, 0.626]"
CONTROL,2569111.941033043,"[0.066, -0.033, 0.368, -0.069, 0.03, 0.629]"
CONTROL,2589192.5650066696,"[0.063, -0.036, 0.365, -0.066, 0.033, 0.632]"
CONTROL,2609267.6290427335,"[0.06, -0.039, 0.362, -0.063, 0.036, 0.635]"
CONTROL,2629339.2220395617,"[0.057, -0.042, 0.359, -0.06, 0.039, 0.638]"
CONTROL,2649415.7660054043,"[0.054, -0.045, 0.356, -0.057, 0.042, 0.641]"
CONTROL,2669491.6300475597,"[0.051, -0.048, 0.353, -0.054, 0.045, 0.644]"
CONTROL,2689559.1640495695,"[0.048, -0.051, 0.35, -0.051, 0.048, 0.647]"
CONTROL,2709630.7770116255,"[0.045, -0.054, 0.353, -0.048, 0.051, 0.65]"
CONTROL,2729705.2110079676,"[0.042, -0.057, 0.356, -0.045, 0.054, 0.647]"
CONTROL,2749780.495010782,"[0.039, -0.06, 0.359, -0.042, 0.057, 0.644]"
CONTROL,2769853.749021422,"[0.036, -0.063, 0.362, -0.039, 0.06, 0.641]"
CONTROL,2789926.7520406283,"[0.033, -0.066, 0.365, -0.036, 0.063, 0.638]"
CONTROL,2809998.376003932,"[0.03, -0.069, 0.368, -0.033, 0.066, 0.635]"
CONTROL,2830068.7900045887,"[0.027, -0.072, 0.371, -0.03, 0.069, 0.632]"
CONTROL,2850112.053041812,"[0.024, -0.075, 0.374, -0.027, 0.072, 0.629]"
CONTROL,2870179.9970003776,"[0.021, -0.078, 0.377, -0.024, 0.075, 0.626]"
CONTROL,2890257.371007465,"[0.018, -0.081, 0.38, -0.021, 0.078, 0.623]"
CONTROL,2910329.3340303935,"[0.015, -0.084, 0.383, -0.018, 0.081, 0.62]"
CONTROL,2930400.9579936974,"[0.012, -0.087, 0.386, -0.015, 0.084, 0.617]"
CONTROL,2950474.342040252,"[0.009, -0.09, 0.389, -0.012, 0.087, 0.614]"
