type,timestamp,positions,velocities,torques
STATE_MOTOR,622169.7150031105,"[-0.07900001057611052, 0.04295146206079795, 0.6419709597301408, 0.09510680884890975, -0.022242721424341798, 0.3786279683377309]","[0.15339807878856412, 0.15339807878856412, 0.15339807878856412, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.091256, 0.0, 0.0, 0.45628, 0.273768, 0.045628]"
STATE_MOTOR,642235.2190129459,"[-0.07593204900033923, 0.04601942363656923, 0.6450389213059121, 0.09203884727313846, -0.02531068300011308, 0.37532981530343007]","[0.15339807878856412, 0.15339807878856412, 0.23009711818284617, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.136884, 0.022814, 0.045628, 0.365024, 0.159698, 0.068442]"
STATE_MOTOR,662304.8830078915,"[-0.07286408742456796, 0.04908738521234052, 0.6481068828816834, 0.08897088569736719, -0.02684466378799872, 0.37269129287598945]","[0.15339807878856412, 0.15339807878856412, 0.15339807878856412, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.11407, 0.022814, 0.091256, 0.387838, 0.091256, 0.091256]"
STATE_MOTOR,682374.6570153162,"[-0.06979612584879667, 0.05368932757599744, 0.6511748444574547, 0.08743690490948154, -0.029912625363770002, 0.36939313984168864]","[0.15339807878856412, 0.23009711818284617, 0.15339807878856412, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.11407, 0.022814, 0.296582, 0.524722, 0.296582, 0.250954]"
STATE_MOTOR,702447.7110244334,"[-0.06672816427302539, 0.056757289151768725, 0.6542428060332259, 0.08436894333371026, -0.032980586939541284, 0.36675461741424803]","[0.15339807878856412, 0.15339807878856412, 0.15339807878856412, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.136884, 0.022814, 0.182512, 0.365024, 0.136884, 0.11407]"
STATE_MOTOR,722517.7850341424,"[-0.0636602026972541, 0.05829126993965436, 0.6542428060332259, 0.08130098175793898, -0.03604854851531257, 0.3641160949868074]","[0.15339807878856412, 0.15339807878856412, 0.15339807878856412, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.11407, 0.022814, 0.11407, 0.22814, 0.068442, 0.273768]"
STATE_MOTOR,742591.7090149596,"[-0.06059224112148282, 0.06135923151542565, 0.6542428060332259, 0.0782330201821677, -0.03911651009108385, 0.3627968337730871]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.07669903939428206, -0.07669903939428206, -0.30679615757712825]","[0.091256, 0.022814, 0.250954, 0.387838, 0.296582, 0.091256]"
STATE_MOTOR,762661.4220207557,"[-0.05752427954571154, 0.06442719309119693, 0.6542428060332259, 0.07516505860639641, -0.04218447166685513, 0.36213720316622694]","[0.15339807878856412, 0.07669903939428206, 0.0, -0.15339807878856412, -0.15339807878856412, -0.15339807878856412]","[0.091256, 0.045628, 0.205326, 0.365024, 0.159698, 0.091256]"
STATE_MOTOR,782729.366037529,"[-0.05445631796994026, 0.0674951546669682, 0.6542428060332259, 0.07209709703062514, -0.045252433242626414, 0.36213720316622694]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.07669903939428206]","[0.091256, 0.273768, 0.182512, 0.365024, 0.068442, 0.068442]"
STATE_MOTOR,802795.3800046816,"[-0.05138835639416898, 0.07056311624273949, 0.6542428060332259, 0.06902913545485385, -0.04832039481839769, 0.36213720316622694]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.0]","[0.091256, 0.091256, 0.410652, 0.34221, 0.159698, 0.022814]"
STATE_MOTOR,822864.1040041111,"[-0.04832039481839769, 0.07209709703062514, 0.6542428060332259, 0.06596117387908257, -0.05138835639416898, 0.36213720316622694]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.0]","[0.205326, 0.068442, 0.34221, 0.296582, 0.11407, 0.0]"
STATE_MOTOR,842929.9280396663,"[-0.045252433242626414, 0.07516505860639641, 0.6542428060332259, 0.06289321230331128, -0.05445631796994026, 0.36213720316622694]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.0]","[0.11407, 0.433466, 0.365024, 0.365024, 0.045628, 0.159698]"
STATE_MOTOR,862998.1720005162,"[-0.04218447166685513, 0.0782330201821677, 0.6542428060332259, 0.059825250727540004, -0.05752427954571154, 0.36213720316622694]","[0.15339807878856412, 0.07669903939428206, 0.0, -0.15339807878856412, -0.15339807878856412, 0.0]","[0.091256, 0.11407, 0.593164, 0.182512, 0.182512, 0.091256]"
STATE_MOTOR,883070.0460239314,"[-0.03911651009108385, 0.08130098175793898, 0.6542428060332259, 0.056757289151768725, -0.06059224112148282, 0.3641160949868074]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.0]","[0.22814, 0.068442, 0.547536, 0.22814, 0.091256, 0.045628]"
STATE_MOTOR,903100.5800352432,"[-0.03604854851531257, 0.08436894333371026, 0.6542428060332259, 0.05368932757599744, -0.0636602026972541, 0.3660949868073879]","[0.07669903939428206, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.23009711818284617]","[0.136884, 0.022814, 0.547536, 0.296582, 0.11407, 0.34221]"
STATE_MOTOR,923174.6740406379,"[-0.032980586939541284, 0.08743690490948154, 0.6542428060332259, 0.04908738521234052, -0.06672816427302539, 0.36807387862796836]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.23009711818284617]","[0.068442, 0.022814, 0.661606, 0.319396, 0.136884, 0.11407]"
STATE_MOTOR,943258.7680057622,"[-0.029912625363770002, 0.09050486648525283, 0.6542428060332259, 0.04601942363656923, -0.06979612584879667, 0.370712401055409]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.23009711818284617, -0.15339807878856412, 0.30679615757712825]","[0.159698, 0.045628, 0.661606, 0.273768, 0.068442, 0.045628]"
STATE_MOTOR,963331.722014118,"[-0.02684466378799872, 0.09357282806102411, 0.6542428060332259, 0.04295146206079795, -0.07286408742456796, 0.37269129287598945]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.23009711818284617]","[0.136884, 0.273768, 0.79849, 0.319396, 0.091256, 0.34221]"
STATE_MOTOR,983405.6260297075,"[-0.023776702212227437, 0.09664078963679539, 0.6542428060332259, 0.03988350048502667, -0.07593204900033923, 0.37532981530343007]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.068442, 0.068442, 0.889746, 0.182512, 0.045628, 0.11407]"
STATE_MOTOR,1003476.670011878,"[-0.020708740636456155, 0.09970875121256667, 0.6542428060332259, 0.03681553890925539, -0.07900001057611052, 0.3786279683377309]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.23009711818284617]","[0.205326, 0.068442, 0.91256, 0.22814, 0.045628, 0.045628]"
STATE_MOTOR,1023575.3440065309,"[-0.017640779060684873, 0.10277671278833796, 0.6542428060332259, 0.0337475773334841, -0.0820679721518818, 0.3812664907651715]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.38349519697141027]","[0.11407, 0.045628, 1.049444, 0.319396, 0.068442, 0.22814]"
STATE_MOTOR,1043646.0880446248,"[-0.01457281748491359, 0.10584467436410924, 0.6542428060332259, 0.030679615757712823, -0.08513593372765309, 0.3839050131926121]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.068442, 0.022814, 1.186328, 0.068442, 0.159698, 0.136884]"
STATE_MOTOR,1063717.6310410723,"[-0.011504855909142308, 0.10891263593988051, 0.6542428060332259, 0.02914563496982718, -0.08820389530342436, 0.3865435356200528]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.159698, 0.022814, 1.186328, 0.045628, 0.11407, 0.730048]"
STATE_MOTOR,1083790.515025612,"[-0.009970875121256667, 0.1119805975156518, 0.6542428060332259, 0.026077673394055898, -0.09127185687919565, 0.38984168865435354]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.07669903939428206, -0.15339807878856412, 0.30679615757712825]","[0.159698, 0.273768, 1.3460260000000002, 0.205326, 0.068442, 0.410652]"
STATE_MOTOR,1103861.1590047367,"[-0.005368932757599744, 0.11504855909142309, 0.6542428060332259, 0.023009711818284616, -0.09433981845496693, 0.3924802110817942]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.38349519697141027]","[0.091256, 0.068442, 1.460096, 0.205326, 0.205326, 0.11407]"
STATE_MOTOR,1123931.4030390233,"[-0.0023009711818284618, 0.11811652066719437, 0.6542428060332259, 0.019941750242513333, -0.09740778003073822, 0.39577836411609496]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.38349519697141027]","[0.159698, 0.045628, 1.48291, 0.250954, 0.11407, 0.615978]"
STATE_MOTOR,1143999.527033884,"[0.0007669903939428206, 0.12118448224296564, 0.6542428060332259, 0.01687378866674205, -0.09894176081862385, 0.39841688654353563]","[0.23009711818284617, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.045628, 0.068442, 1.642608, 0.250954, 0.068442, 0.319396]"
STATE_MOTOR,1164069.3710069172,"[0.003834951969714103, 0.12425244381873693, 0.6542428060332259, 0.01380582709097077, -0.10200972239439514, 0.40105540897097625]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.07669903939428206, 0.30679615757712825]","[0.068442, 0.022814, 1.8023060000000002, 0.205326, 0.11407, 0.136884]"
STATE_MOTOR,1184140.4550359584,"[0.006902913545485385, 0.1273204053945082, 0.6542428060332259, 0.010737865515199488, -0.10507768397016642, 0.40435356200527706]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.38349519697141027]","[0.136884, 0.022814, 1.82512, 0.22814, 0.11407, 0.34221]"
STATE_MOTOR,1204209.3390482478,"[0.009970875121256667, 0.1303883669702795, 0.6542428060332259, 0.007669903939428206, -0.1081456455459377, 0.40699208443271767]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.068442, 0.045628, 2.098888, 0.250954, 0.136884, 0.250954]"
STATE_MOTOR,1224278.0230008066,"[0.013038836697027949, 0.13345632854605077, 0.6542428060332259, 0.0046019423636569235, -0.11121360712170898, 0.4102902374670185]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.273768, 0.045628, 2.076074, 0.273768, 0.045628, 0.11407]"
STATE_MOTOR,1244357.5370125473,"[0.016106798272799233, 0.13652429012182207, 0.6542428060332259, 0.0015339807878856412, -0.11428156869748027, 0.4129287598944591]","[0.15339807878856412, 0.23009711818284617, 0.0, -0.15339807878856412, -0.15339807878856412, 0.38349519697141027]","[0.182512, 0.045628, 2.121702, 0.273768, 0.045628, 0.730048]"
STATE_MOTOR,1264433.671021834,"[0.019174759848570515, 0.13959225169759334, 0.6527088252453404, -0.0015339807878856412, -0.11734953027325154, 0.4162269129287599]","[0.15339807878856412, 0.07669903939428206, 0.0, -0.15339807878856412, -0.15339807878856412, 0.30679615757712825]","[0.045628, 0.022814, 2.372656, 0.410652, 0.068442, 0.365024]"
