type,timestamp,positions
CONTROL,3031241.306976881,"[-0.0048, 0.01024, 0.52528, 0.03968, 0.02464, 0.5096]"
CONTROL,3051319.3560182117,"[-0.0096, 0.00448, 0.51856, 0.03264, 0.03328, 0.5192]"
CONTROL,3071384.5039717853,"[-0.0144, -0.00128, 0.51184, 0.02496, 0.03808, 0.5288]"
CONTROL,3091454.3429971673,"[-0.0192, -0.00704, 0.50512, 0.01728, 0.02944, 0.5384]"
CONTROL,3111533.112009056,"[-0.024, -0.0128, 0.4984, 0.0096, 0.0208, 0.532]"
CONTROL,3131599.9000216834,"[-0.0288, -0.01856, 0.49168, 0.00192, 0.01216, 0.5224]"
CONTROL,3151669.488986954,"[-0.0336, -0.02432, 0.48496, -0.00576, 0.00352, 0.5128]"
CONTROL,3171746.7369744554,"[-0.0384, -0.03008, 0.47824, -0.01344, -0.00512, 0.5032]"
CONTROL,3191826.095979195,"[-0.0368, -0.03584, 0.47152, -0.02112, -0.01376, 0.4936]"
CONTROL,3211843.3240102604,"[-0.032, -0.0384, 0.4648, -0.0288, -0.0224, 0.484]"
CONTROL,3231914.5729998127,"[-0.0272, -0.03264, 0.46192, -0.03648, -0.03104, 0.4744]"
CONTROL,3251990.7610258088,"[-0.0224, -0.02688, 0.46864, -0.03584, -0.03968, 0.4648]"
CONTROL,3272062.400006689,"[-0.0176, -0.02112, 0.47536, -0.02816, -0.03168, 0.4648]"
CONTROL,3292140.537989326,"[-0.0128, -0.01536, 0.48208, -0.02048, -0.02304, 0.4744]"
CONTROL,3312217.8170015104,"[-0.008, -0.0096, 0.4888, -0.0128, -0.0144, 0.484]"
CONTROL,3332299.174973741,"[-0.0032, -0.00384, 0.49552, -0.00512, -0.00576, 0.4936]"
CONTROL,3352373.1239838526,"[0.0016, 0.00192, 0.50224, 0.00256, 0.00288, 0.5032]"
CONTROL,3372444.2929960787,"[0.0064, 0.00768, 0.50896, 0.01024, 0.01152, 0.5128]"
CONTROL,3392521.181027405,"[0.0112, 0.01344, 0.51568, 0.01792, 0.02016, 0.5224]"
CONTROL,3412595.739006065,"[0.016, 0.0192, 0.5224, 0.0256, 0.0288, 0.532]"
CONTROL,3432671.0880268365,"[0.0208, 0.02496, 0.52912, 0.03328, 0.03744, 0.5384]"
CONTROL,3452746.336988639,"[0.0256, 0.03072, 0.53584, 0.03904, 0.03392, 0.5288]"
CONTROL,3472818.055015523,"[0.0304, 0.03648, 0.53744, 0.03136, 0.02528, 0.5192]"
CONTROL,3492845.7729984075,"[0.0352, 0.03776, 0.53072, 0.02368, 0.01664, 0.5096]"
CONTROL,3512916.5920079686,"[0.04, 0.032, 0.524, 0.016, 0.008, 0.5]"
CONTROL,3532993.4610053897,"[0.0352, 0.02624, 0.51728, 0.00832, -0.00064, 0.4904]"
CONTROL,3553070.948983077,"[0.0304, 0.02048, 0.51056, 0.00064, -0.00928, 0.4808]"
CONTROL,3573145.918024238,"[0.0256, 0.01472, 0.50384, -0.00704, -0.01792, 0.4712]"
CONTROL,3593225.4359941,"[0.0208, 0.00896, 0.49712, -0.01472, -0.02656, 0.4616]"
CONTROL,3613303.5849779844,"[0.016, 0.0032, 0.4904, -0.0224, -0.0352, 0.468]"
CONTROL,3633378.552971408,"[0.0112, -0.00256, 0.48368, -0.03008, -0.03616, 0.4776]"
CONTROL,3653451.0320052505,"[0.0064, -0.00832, 0.47696, -0.03776, -0.02752, 0.4872]"
CONTROL,3673522.890021559,"[0.0016, -0.01408, 0.47024, -0.03456, -0.01888, 0.4968]"
CONTROL,3693592.068972066,"[-0.0032, -0.01984, 0.46352, -0.02688, -0.01024, 0.5064]"
CONTROL,3713661.8769727647,"[-0.008, -0.0256, 0.4632, -0.0192, -0.0016, 0.516]"
CONTROL,3733736.206020694,"[-0.0128, -0.03136, 0.46992, -0.01152, 0.00704, 0.5256]"
CONTROL,3753812.2439873405,"[-0.0176, -0.03712, 0.47664, -0.00384, 0.01568, 0.5352]"
CONTROL,3773884.962021839,"[-0.0224, -0.03712, 0.48336, 0.00384, 0.02432, 0.5352]"
CONTROL,3793962.4509890564,"[-0.0272, -0.03136, 0.49008, 0.01152, 0.03296, 0.5256]"
CONTROL,3814036.099007353,"[-0.032, -0.0256, 0.4968, 0.0192, 0.0384, 0.516]"
CONTROL,3834112.5280130655,"[-0.0368, -0.01984, 0.50352, 0.02688, 0.02976, 0.5064]"
CONTROL,3854186.785989441,"[-0.0384, -0.01408, 0.51024, 0.03456, 0.02112, 0.4968]"
CONTROL,3874252.864974551,"[-0.0336, -0.00832, 0.51696, 0.03776, 0.01248, 0.4872]"
CONTROL,3894326.143024955,"[-0.0288, -0.00256, 0.52368, 0.03008, 0.00384, 0.4776]"
CONTROL,3914400.35199048,"[-0.024, 0.0032, 0.5304, 0.0224, -0.0048, 0.468]"
CONTROL,3934476.430003997,"[-0.0192, 0.00896, 0.53712, 0.01472, -0.01344, 0.4616]"
CONTROL,3954552.988987416,"[-0.0144, 0.01472, 0.53616, 0.00704, -0.02208, 0.4712]"
CONTROL,3974622.0969827846,"[-0.0096, 0.02048, 0.52944, -0.00064, -0.03072, 0.4808]"
CONTROL,3994691.7649940588,"[-0.0048, 0.02624, 0.52272, -0.00832, -0.03936, 0.4904]"
CONTROL,4014757.714001462,"[0.0, 0.032, 0.516, -0.016, -0.032, 0.5]"
CONTROL,4034873.411990702,"[0.0048, 0.03776, 0.50928, -0.02368, -0.02336, 0.5096]"
CONTROL,4054946.1410264485,"[0.0096, 0.03648, 0.50256, -0.03136, -0.01472, 0.5192]"
CONTROL,4075019.2389823496,"[0.0144, 0.03072, 0.49584, -0.03904, -0.00608, 0.5288]"
CONTROL,4095091.5979919955,"[0.0192, 0.02496, 0.48912, -0.03328, 0.00256, 0.5384]"
CONTROL,4115165.936003905,"[0.024, 0.0192, 0.4824, -0.0256, 0.0112, 0.532]"
CONTROL,4135240.1450276375,"[0.0288, 0.01344, 0.47568, -0.01792, 0.01984, 0.5224]"
CONTROL,4155324.0030189045,"[0.0336, 0.00768, 0.46896, -0.01024, 0.02848, 0.5128]"
CONTROL,4175395.580998156,"[0.0384, 0.00192, 0.46224, -0.00256, 0.03712, 0.5032]"
CONTROL,4195470.470003784,"[0.0368, -0.00384, 0.46448, 0.00512, 0.03424, 0.4936]"
CONTROL,4215542.87802428,"[0.032, -0.0096, 0.4712, 0.0128, 0.0256, 0.484]"
CONTROL,4235621.867002919,"[0.0272, -0.01536, 0.47792, 0.02048, 0.01696, 0.4744]"
CONTROL,4255695.884989109,"[0.0224, -0.02112, 0.48464, 0.02816, 0.00832, 0.4648]"
CONTROL,4275768.033985514,"[0.0176, -0.02688, 0.49136, 0.03584, -0.00032, 0.4648]"
CONTROL,4295841.352024581,"[0.0128, -0.03264, 0.49808, 0.03648, -0.00896, 0.4744]"
CONTROL,4315905.311028473,"[0.008, -0.0384, 0.5048, 0.0288, -0.0176, 0.484]"
CONTROL,4335973.119013943,"[0.0032, -0.03584, 0.51152, 0.02112, -0.02624, 0.4936]"
CONTROL,4356043.8270214945,"[-0.0016, -0.03008, 0.51824, 0.01344, -0.03488, 0.5032]"
CONTROL,4376134.875987191,"[-0.0064, -0.02432, 0.52496, 0.00576, -0.03648, 0.5128]"
CONTROL,4396213.394007646,"[-0.0112, -0.01856, 0.53168, -0.00192, -0.02784, 0.5224]"
CONTROL,4416287.793021183,"[-0.016, -0.0128, 0.5384, -0.0096, -0.0192, 0.532]"
CONTROL,4436362.2610108,"[-0.0208, -0.00704, 0.53488, -0.01728, -0.01056, 0.5384]"
CONTROL,4456429.769983515,"[-0.0256, -0.00128, 0.52816, -0.02496, -0.00192, 0.5288]"
CONTROL,4476507.927989587,"[-0.0304, 0.00448, 0.52144, -0.03264, 0.00672, 0.5192]"
CONTROL,4496581.587009132,"[-0.0352, 0.01024, 0.51472, -0.03968, 0.01536, 0.5096]"
CONTROL,4516650.195000693,"[-0.04, 0.016, 0.508, -0.032, 0.024, 0.5]"
CONTROL,4536728.813021909,"[-0.0352, 0.02176, 0.50128, -0.02432, 0.03264, 0.4904]"
CONTROL,4556804.28200867,"[-0.0304, 0.02752, 0.49456, -0.01664, 0.03872, 0.4808]"
CONTROL,4576875.090016983,"[-0.0256, 0.03328, 0.48784, -0.00896, 0.03008, 0.4712]"
CONTROL,4596950.398990884,"[-0.0208, 0.03904, 0.48112, -0.00128, 0.02144, 0.4616]"
CONTROL,4617018.706980161,"[-0.016, 0.0352, 0.4744, 0.0064, 0.0128, 0.468]"
CONTROL,4637089.715979528,"[-0.0112, 0.02944, 0.46768, 0.01408, 0.00416, 0.4776]"
CONTROL,4657157.493988052,"[-0.0064, 0.02368, 0.46096, 0.02176, -0.00448, 0.4872]"
CONTROL,4677227.601991035,"[-0.0016, 0.01792, 0.46576, 0.02944, -0.01312, 0.4968]"
CONTROL,4697296.191006899,"[0.0032, 0.01216, 0.47248, 0.03712, -0.02176, 0.5064]"
